var_index,var_name,portfolio_job_id,start_slot,end_slot_exclusive,duration_slots,total_gpus,gpu_power_kW
156,x_j07_s18,7,18,23,5,8,3.2
157,x_j07_s19,7,19,24,5,8,3.2
158,x_j08_s00,8,0,3,3,8,3.2
159,x_j08_s01,8,1,4,3,8,3.2
160,x_j08_s02,8,2,5,3,8,3.2
161,x_j08_s03,8,3,6,3,8,3.2
162,x_j08_s04,8,4,7,3,8,3.2
163,x_j08_s05,8,5,8,3,8,3.2
164,x_j08_s06,8,6,9,3,8,3.2
165,x_j08_s07,8,7,10,3,8,3.2
166,x_j08_s08,8,8,11,3,8,3.2
167,x_j08_s09,8,9,12,3,8,3.2
168,x_j08_s10,8,10,13,3,8,3.2
169,x_j08_s11,8,11,14,3,8,3.2
170,x_j08_s12,8,12,15,3,8,3.2
171,x_j08_s13,8,13,16,3,8,3.2
172,x_j08_s14,8,14,17,3,8,3.2
173,x_j08_s15,8,15,18,3,8,3.2
174,x_j08_s16,8,16,19,3,8,3.2
175,x_j08_s17,8,17,20,3,8,3.2
176,x_j08_s18,8,18,21,3,8,3.2
177,x_j08_s19,8,19,22,3,8,3.2
178,x_j08_s20,8,20,23,3,8,3.2
179,x_j08_s21,8,21,24,3,8,3.2
180,x_j09_s00,9,0,6,6,10,4.0
181,x_j09_s01,9,1,7,6,10,4.0
182,x_j09_s02,9,2,8,6,10,4.0
183,x_j09_s03,9,3,9,6,10,4.0
184,x_j09_s04,9,4,10,6,10,4.0
185,x_j09_s05,9,5,11,6,10,4.0
186,x_j09_s06,9,6,12,6,10,4.0
187,x_j09_s07,9,7,13,6,10,4.0
188,x_j09_s08,9,8,14,6,10,4.0
189,x_j09_s09,9,9,15,6,10,4.0
190,x_j09_s10,9,10,16,6,10,4.0
191,x_j09_s11,9,11,17,6,10,4.0
192,x_j09_s12,9,12,18,6,10,4.0
193,x_j09_s13,9,13,19,6,10,4.0
194,x_j09_s14,9,14,20,6,10,4.0
195,x_j09_s15,9,15,21,6,10,4.0
196,x_j09_s16,9,16,22,6,10,4.0
197,x_j09_s17,9,17,23,6,10,4.0
198,x_j09_s18,9,18,24,6,10,4.0
199,x_j10_s00,10,0,2,2,9,3.6
200,x_j10_s01,10,1,3,2,9,3.6
201,x_j10_s02,10,2,4,2,9,3.6
202,x_j10_s03,10,3,5,2,9,3.6
203,x_j10_s04,10,4,6,2,9,3.6
204,x_j10_s05,10,5,7,2,9,3.6
205,x_j10_s06,10,6,8,2,9,3.6
206,x_j10_s07,10,7,9,2,9,3.6
207,x_j10_s08,10,8,10,2,9,3.6
208,x_j10_s09,10,9,11,2,9,3.6
209,x_j10_s10,10,10,12,2,9,3.6
210,x_j10_s11,10,11,13,2,9,3.6
211,x_j10_s12,10,12,14,2,9,3.6
212,x_j10_s13,10,13,15,2,9,3.6
213,x_j10_s14,10,14,16,2,9,3.6
214,x_j10_s15,10,15,17,2,9,3.6
215,x_j10_s16,10,16,18,2,9,3.6
216,x_j10_s17,10,17,19,2,9,3.6
217,x_j10_s18,10,18,20,2,9,3.6
218,x_j10_s19,10,19,21,2,9,3.6
219,x_j10_s20,10,20,22,2,9,3.6
220,x_j10_s21,10,21,23,2,9,3.6
221,x_j10_s22,10,22,24,2,9,3.6
222,x_j11_s00,11,0,4,4,9,3.6
223,x_j11_s01,11,1,5,4,9,3.6
224,x_j11_s02,11,2,6,4,9,3.6
225,x_j11_s03,11,3,7,4,9,3.6
226,x_j11_s04,11,4,8,4,9,3.6
227,x_j11_s05,11,5,9,4,9,3.6
228,x_j11_s06,11,6,10,4,9,3.6
229,x_j11_s07,11,7,11,4,9,3.6
230,x_j11_s08,11,8,12,4,9,3.6
231,x_j11_s09,11,9,13,4,9,3.6
232,x_j11_s10,11,10,14,4,9,3.6
233,x_j11_s11,11,11,15,4,9,3.6
234,x_j11_s12,11,12,16,4,9,3.6
235,x_j11_s13,11,13,17,4,9,3.6
236,x_j11_s14,11,14,18,4,9,3.6
237,x_j11_s15,11,15,19,4,9,3.6
238,x_j11_s16,11,16,20,4,9,3.6
239,x_j11_s17,11,17,21,4,9,3.6
240,x_j11_s18,11,18,22,4,9,3.6
241,x_j11_s19,11,19,23,4,9,3.6
242,x_j11_s20,11,20,24,4,9,3.6
243,x_j12_s00,12,0,7,7,8,3.2
244,x_j12_s01,12,1,8,7,8,3.2
245,x_j12_s02,12,2,9,7,8,3.2
246,x_j12_s03,12,3,10,7,8,3.2
247,x_j12_s04,12,4,11,7,8,3.2
248,x_j12_s05,12,5,12,7,8,3.2
249,x_j12_s06,12,6,13,7,8,3.2
250,x_j12_s07,12,7,14,7,8,3.2
251,x_j12_s08,12,8,15,7,8,3.2
252,x_j12_s09,12,9,16,7,8,3.2
253,x_j12_s10,12,10,17,7,8,3.2
254,x_j12_s11,12,11,18,7,8,3.2
255,x_j12_s12,12,12,19,7,8,3.2
256,x_j12_s13,12,13,20,7,8,3.2
257,x_j12_s14,12,14,21,7,8,3.2
258,x_j12_s15,12,15,22,7,8,3.2
259,x_j12_s16,12,16,23,7,8,3.2
260,x_j12_s17,12,17,24,7,8,3.2
261,x_j13_s00,13,0,3,3,8,3.2
262,x_j13_s01,13,1,4,3,8,3.2
263,x_j13_s02,13,2,5,3,8,3.2
264,x_j13_s03,13,3,6,3,8,3.2
265,x_j13_s04,13,4,7,3,8,3.2
266,x_j13_s05,13,5,8,3,8,3.2
267,x_j13_s06,13,6,9,3,8,3.2
268,x_j13_s07,13,7,10,3,8,3.2
269,x_j13_s08,13,8,11,3,8,3.2
270,x_j13_s09,13,9,12,3,8,3.2
271,x_j13_s10,13,10,13,3,8,3.2
272,x_j13_s11,13,11,14,3,8,3.2
273,x_j13_s12,13,12,15,3,8,3.2
274,x_j13_s13,13,13,16,3,8,3.2
275,x_j13_s14,13,14,17,3,8,3.2
276,x_j13_s15,13,15,18,3,8,3.2
277,x_j13_s16,13,16,19,3,8,3.2
278,x_j13_s17,13,17,20,3,8,3.2
279,x_j13_s18,13,18,21,3,8,3.2
280,x_j13_s19,13,19,22,3,8,3.2
281,x_j13_s20,13,20,23,3,8,3.2
282,x_j13_s21,13,21,24,3,8,3.2
283,x_j14_s00,14,0,3,3,8,3.2
284,x_j14_s01,14,1,4,3,8,3.2
285,x_j14_s02,14,2,5,3,8,3.2
286,x_j14_s03,14,3,6,3,8,3.2
287,x_j14_s04,14,4,7,3,8,3.2
288,x_j14_s05,14,5,8,3,8,3.2
289,x_j14_s06,14,6,9,3,8,3.2
290,x_j14_s07,14,7,10,3,8,3.2
291,x_j14_s08,14,8,11,3,8,3.2
292,x_j14_s09,14,9,12,3,8,3.2
293,x_j14_s10,14,10,13,3,8,3.2
294,x_j14_s11,14,11,14,3,8,3.2
295,x_j14_s12,14,12,15,3,8,3.2
296,x_j14_s13,14,13,16,3,8,3.2
297,x_j14_s14,14,14,17,3,8,3.2
298,x_j14_s15,14,15,18,3,8,3.2
299,x_j14_s16,14,16,19,3,8,3.2
300,x_j14_s17,14,17,20,3,8,3.2
301,x_j14_s18,14,18,21,3,8,3.2
302,x_j14_s19,14,19,22,3,8,3.2
303,x_j14_s20,14,20,23,3,8,3.2
304,x_j14_s21,14,21,24,3,8,3.2
305,x_j15_s00,15,0,2,2,8,3.2
306,x_j15_s01,15,1,3,2,8,3.2
307,x_j15_s02,15,2,4,2,8,3.2
308,x_j15_s03,15,3,5,2,8,3.2
309,x_j15_s04,15,4,6,2,8,3.2
310,x_j15_s05,15,5,7,2,8,3.2
311,x_j15_s06,15,6,8,2,8,3.2
312,x_j15_s07,15,7,9,2,8,3.2
313,x_j15_s08,15,8,10,2,8,3.2
314,x_j15_s09,15,9,11,2,8,3.2
315,x_j15_s10,15,10,12,2,8,3.2
316,x_j15_s11,15,11,13,2,8,3.2
317,x_j15_s12,15,12,14,2,8,3.2
318,x_j15_s13,15,13,15,2,8,3.2
319,x_j15_s14,15,14,16,2,8,3.2
320,x_j15_s15,15,15,17,2,8,3.2
321,x_j15_s16,15,16,18,2,8,3.2
322,x_j15_s17,15,17,19,2,8,3.2
323,x_j15_s18,15,18,20,2,8,3.2
324,x_j15_s19,15,19,21,2,8,3.2
325,x_j15_s20,15,20,22,2,8,3.2
326,x_j15_s21,15,21,23,2,8,3.2
327,x_j15_s22,15,22,24,2,8,3.2
328,x_j16_s00,16,0,2,2,8,3.2
329,x_j16_s01,16,1,3,2,8,3.2
330,x_j16_s02,16,2,4,2,8,3.2
331,x_j16_s03,16,3,5,2,8,3.2
332,x_j16_s04,16,4,6,2,8,3.2
333,x_j16_s05,16,5,7,2,8,3.2
334,x_j16_s06,16,6,8,2,8,3.2
335,x_j16_s07,16,7,9,2,8,3.2
336,x_j16_s08,16,8,10,2,8,3.2
337,x_j16_s09,16,9,11,2,8,3.2
338,x_j16_s10,16,10,12,2,8,3.2
339,x_j16_s11,16,11,13,2,8,3.2
340,x_j16_s12,16,12,14,2,8,3.2
341,x_j16_s13,16,13,15,2,8,3.2
342,x_j16_s14,16,14,16,2,8,3.2
343,x_j16_s15,16,15,17,2,8,3.2
344,x_j16_s16,16,16,18,2,8,3.2
345,x_j16_s17,16,17,19,2,8,3.2
346,x_j16_s18,16,18,20,2,8,3.2
347,x_j16_s19,16,19,21,2,8,3.2
348,x_j16_s20,16,20,22,2,8,3.2
349,x_j16_s21,16,21,23,2,8,3.2
350,x_j16_s22,16,22,24,2,8,3.2
351,x_j17_s00,17,0,2,2,8,3.2
352,x_j17_s01,17,1,3,2,8,3.2
353,x_j17_s02,17,2,4,2,8,3.2
354,x_j17_s03,17,3,5,2,8,3.2
355,x_j17_s04,17,4,6,2,8,3.2
356,x_j17_s05,17,5,7,2,8,3.2
357,x_j17_s06,17,6,8,2,8,3.2
358,x_j17_s07,17,7,9,2,8,3.2
359,x_j17_s08,17,8,10,2,8,3.2
360,x_j17_s09,17,9,11,2,8,3.2
361,x_j17_s10,17,10,12,2,8,3.2
362,x_j17_s11,17,11,13,2,8,3.2
363,x_j17_s12,17,12,14,2,8,3.2
364,x_j17_s13,17,13,15,2,8,3.2
365,x_j17_s14,17,14,16,2,8,3.2
366,x_j17_s15,17,15,17,2,8,3.2
367,x_j17_s16,17,16,18,2,8,3.2
368,x_j17_s17,17,17,19,2,8,3.2
369,x_j17_s18,17,18,20,2,8,3.2
370,x_j17_s19,17,19,21,2,8,3.2
371,x_j17_s20,17,20,22,2,8,3.2
372,x_j17_s21,17,21,23,2,8,3.2
373,x_j17_s22,17,22,24,2,8,3.2
374,x_j18_s00,18,0,9,9,8,3.2
375,x_j18_s01,18,1,10,9,8,3.2
376,x_j18_s02,18,2,11,9,8,3.2
377,x_j18_s03,18,3,12,9,8,3.2
378,x_j18_s04,18,4,13,9,8,3.2
379,x_j18_s05,18,5,14,9,8,3.2
380,x_j18_s06,18,6,15,9,8,3.2
381,x_j18_s07,18,7,16,9,8,3.2
382,x_j18_s08,18,8,17,9,8,3.2
383,x_j18_s09,18,9,18,9,8,3.2
384,x_j18_s10,18,10,19,9,8,3.2
385,x_j18_s11,18,11,20,9,8,3.2
386,x_j18_s12,18,12,21,9,8,3.2
387,x_j18_s13,18,13,22,9,8,3.2
388,x_j18_s14,18,14,23,9,8,3.2
389,x_j18_s15,18,15,24,9,8,3.2
390,x_j19_s00,19,0,5,5,8,3.2
391,x_j19_s01,19,1,6,5,8,3.2
392,x_j19_s02,19,2,7,5,8,3.2
393,x_j19_s03,19,3,8,5,8,3.2
394,x_j19_s04,19,4,9,5,8,3.2
395,x_j19_s05,19,5,10,5,8,3.2
396,x_j19_s06,19,6,11,5,8,3.2
397,x_j19_s07,19,7,12,5,8,3.2
398,x_j19_s08,19,8,13,5,8,3.2
399,x_j19_s09,19,9,14,5,8,3.2
400,x_j19_s10,19,10,15,5,8,3.2
401,x_j19_s11,19,11,16,5,8,3.2
402,x_j19_s12,19,12,17,5,8,3.2
403,x_j19_s13,19,13,18,5,8,3.2
404,x_j19_s14,19,14,19,5,8,3.2
405,x_j19_s15,19,15,20,5,8,3.2
406,x_j19_s16,19,16,21,5,8,3.2
407,x_j19_s17,19,17,22,5,8,3.2
408,x_j19_s18,19,18,23,5,8,3.2
409,x_j19_s19,19,19,24,5,8,3.2
410,x_j20_s00,20,0,3,3,8,3.2
411,x_j20_s01,20,1,4,3,8,3.2
412,x_j20_s02,20,2,5,3,8,3.2
413,x_j20_s03,20,3,6,3,8,3.2
414,x_j20_s04,20,4,7,3,8,3.2
415,x_j20_s05,20,5,8,3,8,3.2
416,x_j20_s06,20,6,9,3,8,3.2
417,x_j20_s07,20,7,10,3,8,3.2
418,x_j20_s08,20,8,11,3,8,3.2
419,x_j20_s09,20,9,12,3,8,3.2
420,x_j20_s10,20,10,13,3,8,3.2
421,x_j20_s11,20,11,14,3,8,3.2
422,x_j20_s12,20,12,15,3,8,3.2
423,x_j20_s13,20,13,16,3,8,3.2
424,x_j20_s14,20,14,17,3,8,3.2
425,x_j20_s15,20,15,18,3,8,3.2
426,x_j20_s16,20,16,19,3,8,3.2
427,x_j20_s17,20,17,20,3,8,3.2
428,x_j20_s18,20,18,21,3,8,3.2
429,x_j20_s19,20,19,22,3,8,3.2
430,x_j20_s20,20,20,23,3,8,3.2
431,x_j20_s21,20,21,24,3,8,3.2
432,x_j21_s00,21,0,4,4,16,6.4
433,x_j21_s01,21,1,5,4,16,6.4
434,x_j21_s02,21,2,6,4,16,6.4
435,x_j21_s03,21,3,7,4,16,6.4
436,x_j21_s04,21,4,8,4,16,6.4
437,x_j21_s05,21,5,9,4,16,6.4
438,x_j21_s06,21,6,10,4,16,6.4
439,x_j21_s07,21,7,11,4,16,6.4
440,x_j21_s08,21,8,12,4,16,6.4
441,x_j21_s09,21,9,13,4,16,6.4
442,x_j21_s10,21,10,14,4,16,6.4
443,x_j21_s11,21,11,15,4,16,6.4
444,x_j21_s12,21,12,16,4,16,6.4
445,x_j21_s13,21,13,17,4,16,6.4
446,x_j21_s14,21,14,18,4,16,6.4
447,x_j21_s15,21,15,19,4,16,6.4
448,x_j21_s16,21,16,20,4,16,6.4
449,x_j21_s17,21,17,21,4,16,6.4
450,x_j21_s18,21,18,22,4,16,6.4
451,x_j21_s19,21,19,23,4,16,6.4
452,x_j21_s20,21,20,24,4,16,6.4
453,x_j22_s00,22,0,2,2,9,3.6
454,x_j22_s01,22,1,3,2,9,3.6
455,x_j22_s02,22,2,4,2,9,3.6
456,x_j22_s03,22,3,5,2,9,3.6
457,x_j22_s04,22,4,6,2,9,3.6
458,x_j22_s05,22,5,7,2,9,3.6
459,x_j22_s06,22,6,8,2,9,3.6
460,x_j22_s07,22,7,9,2,9,3.6
461,x_j22_s08,22,8,10,2,9,3.6
462,x_j22_s09,22,9,11,2,9,3.6
463,x_j22_s10,22,10,12,2,9,3.6
464,x_j22_s11,22,11,13,2,9,3.6
465,x_j22_s12,22,12,14,2,9,3.6
466,x_j22_s13,22,13,15,2,9,3.6
467,x_j22_s14,22,14,16,2,9,3.6
468,x_j22_s15,22,15,17,2,9,3.6
469,x_j22_s16,22,16,18,2,9,3.6
470,x_j22_s17,22,17,19,2,9,3.6
471,x_j22_s18,22,18,20,2,9,3.6
472,x_j22_s19,22,19,21,2,9,3.6
473,x_j22_s20,22,20,22,2,9,3.6
474,x_j22_s21,22,21,23,2,9,3.6
475,x_j22_s22,22,22,24,2,9,3.6
476,x_j23_s00,23,0,11,11,8,3.2
477,x_j23_s01,23,1,12,11,8,3.2
478,x_j23_s02,23,2,13,11,8,3.2
479,x_j23_s03,23,3,14,11,8,3.2
480,x_j23_s04,23,4,15,11,8,3.2
481,x_j23_s05,23,5,16,11,8,3.2
482,x_j23_s06,23,6,17,11,8,3.2
483,x_j23_s07,23,7,18,11,8,3.2
484,x_j23_s08,23,8,19,11,8,3.2
485,x_j23_s09,23,9,20,11,8,3.2
486,x_j23_s10,23,10,21,11,8,3.2
487,x_j23_s11,23,11,22,11,8,3.2
488,x_j23_s12,23,12,23,11,8,3.2
489,x_j23_s13,23,13,24,11,8,3.2
490,x_j24_s00,24,0,11,11,8,3.2
491,x_j24_s01,24,1,12,11,8,3.2
492,x_j24_s02,24,2,13,11,8,3.2
493,x_j24_s03,24,3,14,11,8,3.2
494,x_j24_s04,24,4,15,11,8,3.2
495,x_j24_s05,24,5,16,11,8,3.2
496,x_j24_s06,24,6,17,11,8,3.2
497,x_j24_s07,24,7,18,11,8,3.2
498,x_j24_s08,24,8,19,11,8,3.2
499,x_j24_s09,24,9,20,11,8,3.2
500,x_j24_s10,24,10,21,11,8,3.2
501,x_j24_s11,24,11,22,11,8,3.2
502,x_j24_s12,24,12,23,11,8,3.2
503,x_j24_s13,24,13,24,11,8,3.2
504,x_j25_s00,25,0,2,2,11,4.4
505,x_j25_s01,25,1,3,2,11,4.4
506,x_j25_s02,25,2,4,2,11,4.4
507,x_j25_s03,25,3,5,2,11,4.4
508,x_j25_s04,25,4,6,2,11,4.4
509,x_j25_s05,25,5,7,2,11,4.4
510,x_j25_s06,25,6,8,2,11,4.4
511,x_j25_s07,25,7,9,2,11,4.4
512,x_j25_s08,25,8,10,2,11,4.4
513,x_j25_s09,25,9,11,2,11,4.4
514,x_j25_s10,25,10,12,2,11,4.4
515,x_j25_s11,25,11,13,2,11,4.4
516,x_j25_s12,25,12,14,2,11,4.4
517,x_j25_s13,25,13,15,2,11,4.4
518,x_j25_s14,25,14,16,2,11,4.4
519,x_j25_s15,25,15,17,2,11,4.4
520,x_j25_s16,25,16,18,2,11,4.4
521,x_j25_s17,25,17,19,2,11,4.4
522,x_j25_s18,25,18,20,2,11,4.4
523,x_j25_s19,25,19,21,2,11,4.4
524,x_j25_s20,25,20,22,2,11,4.4
525,x_j25_s21,25,21,23,2,11,4.4
526,x_j25_s22,25,22,24,2,11,4.4
527,x_j26_s00,26,0,9,9,32,12.8
528,x_j26_s01,26,1,10,9,32,12.8
529,x_j26_s02,26,2,11,9,32,12.8
530,x_j26_s03,26,3,12,9,32,12.8
531,x_j26_s04,26,4,13,9,32,12.8
532,x_j26_s05,26,5,14,9,32,12.8
533,x_j26_s06,26,6,15,9,32,12.8
534,x_j26_s07,26,7,16,9,32,12.8
535,x_j26_s08,26,8,17,9,32,12.8
536,x_j26_s09,26,9,18,9,32,12.8
537,x_j26_s10,26,10,19,9,32,12.8
538,x_j26_s11,26,11,20,9,32,12.8
539,x_j26_s12,26,12,21,9,32,12.8
540,x_j26_s13,26,13,22,9,32,12.8
541,x_j26_s14,26,14,23,9,32,12.8
542,x_j26_s15,26,15,24,9,32,12.8
543,x_j27_s00,27,0,6,6,32,12.8
544,x_j27_s01,27,1,7,6,32,12.8
545,x_j27_s02,27,2,8,6,32,12.8
546,x_j27_s03,27,3,9,6,32,12.8
547,x_j27_s04,27,4,10,6,32,12.8
548,x_j27_s05,27,5,11,6,32,12.8
549,x_j27_s06,27,6,12,6,32,12.8
550,x_j27_s07,27,7,13,6,32,12.8
551,x_j27_s08,27,8,14,6,32,12.8
552,x_j27_s09,27,9,15,6,32,12.8
553,x_j27_s10,27,10,16,6,32,12.8
554,x_j27_s11,27,11,17,6,32,12.8
555,x_j27_s12,27,12,18,6,32,12.8
556,x_j27_s13,27,13,19,6,32,12.8
557,x_j27_s14,27,14,20,6,32,12.8
558,x_j27_s15,27,15,21,6,32,12.8
559,x_j27_s16,27,16,22,6,32,12.8
560,x_j27_s17,27,17,23,6,32,12.8
561,x_j27_s18,27,18,24,6,32,12.8
562,x_j28_s00,28,0,3,3,51,20.400000000000002
563,x_j28_s01,28,1,4,3,51,20.400000000000002
564,x_j28_s02,28,2,5,3,51,20.400000000000002
565,x_j28_s03,28,3,6,3,51,20.400000000000002
566,x_j28_s04,28,4,7,3,51,20.400000000000002
567,x_j28_s05,28,5,8,3,51,20.400000000000002
568,x_j28_s06,28,6,9,3,51,20.400000000000002
569,x_j28_s07,28,7,10,3,51,20.400000000000002
570,x_j28_s08,28,8,11,3,51,20.400000000000002
571,x_j28_s09,28,9,12,3,51,20.400000000000002
572,x_j28_s10,28,10,13,3,51,20.400000000000002
